id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
742660089596034912,Rental unit in Hong Kong · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,212046193,Charles,,Eastern,22.29281,114.1987,Private room,250,28,9,2023-02-18,1.12,6,302,9,
743121138978915628,"Condo in Kennedy Town, Hong Kong · ★4.67 · 2 bedrooms · 2 beds · 1 bath",17713352,Nicolas,,Central & Western,22.28419,114.13049,Entire home/apt,3000,5,3,2023-04-08,0.45,2,8,3,
834514023280487491,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,7518056,Jovee,,Kowloon City,22.303362985581842,114.18762305781158,Private room,240,29,0,,,365,364,0,
744798995117771674,Serviced apartment in Hong Kong · 1 bedroom · 1 bed · 1 bath,34667156,Koman,,Wan Chai,22.27894,114.18076,Entire home/apt,1766,30,0,,,4,90,0,
745293198310860168,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,212046193,Charles,,Eastern,22.2908,114.2002,Private room,250,28,2,2022-12-27,0.32,6,330,2,
745339803321623559,Hotel in Hong Kong · 1 bedroom · 1 bed · 1 private bath,466738499,Wes,,Yau Tsim Mong,22.30189,114.17249,Private room,868,1,2,2022-11-07,0.26,29,149,2,
745554099015847573,Rental unit in Hong Kong · ★4.55 · 1 bedroom · 1 bed · 1 shared bath,212046193,Charles,,Eastern,22.29107,114.19861,Private room,250,28,11,2023-04-30,1.41,6,310,11,
748463503765266966,Rental unit in Hong Kong · ★4.09 · Studio · 3 beds · Half-bath,485555293,Katherine,,Islands,22.21462,114.0279,Entire home/apt,1157,1,11,2023-06-03,1.67,3,13,11,
752744712455959981,Rental unit in Hong Kong · ★4.47 · Studio · 1 bed · 1 private bath,224983823,Rela,,Wan Chai,22.2778264,114.1745977,Private room,417,3,15,2023-05-31,2.66,3,89,15,
753883973902332376,Rental unit in Hong Kong · ★5.0 · 3 bedrooms · 4 beds · 3 baths,486527073,Bridget,,Islands,22.30831,114.0136,Entire home/apt,2200,2,3,2023-01-25,0.50,1,17,3,
754090473757718315,Rental unit in Hong Kong · ★4.25 · Studio · 1 bed · 1.5 baths,62887858,Rachel,,Central & Western,22.282374,114.1527572,Entire home/apt,814,3,4,2023-05-03,0.64,1,16,4,
755303465406393000,Home in Hong Kong · 2 bedrooms · 1 bed · 1 bath,3820308,David,,Tai Po,22.469239240403482,114.20931547880173,Entire home/apt,1763,1,1,2023-01-08,0.18,16,363,1,
757132488298019248,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,447375511,Blueground,,Central & Western,22.2829523,114.1513959,Entire home/apt,1836,30,0,,,50,310,0,
758175618086746466,Rental unit in Hong Kong · 1 bedroom · 2 beds · 1.5 shared baths,51477341,Amit,,Tai Po,22.4213,114.1972,Private room,400,1,0,,,1,364,0,
758835971176513807,Condo in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,47777812,Ru,,Wan Chai,22.276865938323965,114.17060925880206,Private room,258,21,1,2023-04-16,0.43,2,232,1,
758988633619247674,Rental unit in Discovery Bay · ★4.67 · 2 bedrooms · 2 beds · 1 bath,485624917,Tania,,Islands,22.30248695124472,114.01023440587281,Entire home/apt,1200,2,9,2023-05-29,1.50,1,279,9,
759013170291337795,Condo in Hong Kong · ★4.82 · 1 bedroom · 1 bed · 1 bath,23962888,Josh,,Central & Western,22.28314,114.13719,Entire home/apt,1088,14,11,2023-05-24,1.58,1,110,11,
759816603475737393,Condo in Hong Kong · ★4.33 · 1 bedroom · 1 bed · 1 bath,367164208,Arianna And Team,,Central & Western,22.2859112,114.1468732,Entire home/apt,720,4,6,2023-05-31,1.94,1,320,6,
762690183884335163,Rental unit in Hong Kong · 4 bedrooms · 4 beds · 3 baths,432241570,Roger,,Islands,22.28762,113.93888,Entire home/apt,620,10,2,2023-05-09,0.63,2,163,2,
764265276254800442,Condo in Hong Kong · ★4.79 · 2 bedrooms · 3 beds · 1 bath,40377430,Y,,Tsuen Wan,22.3673481,114.1159563,Entire home/apt,1090,6,14,2023-06-02,2.30,1,146,14,
764765354521432286,Rental unit in Hong Kong · Studio · 1 bed · 8 baths,218702365,Christoph Michael,,Sham Shui Po,22.3403666,114.1505773,Entire home/apt,3100,1,0,,,3,364,0,
764815144995348758,Rental unit in Hong Kong · Studio · 1 bed · 1 private bath,488555897,Gavin,,Central & Western,22.2841981,114.1534898,Private room,350,21,1,2023-03-25,0.33,2,0,1,
765430598754360684,Rental unit in Hong Kong · ★4.80 · 1 bedroom · 1 bed · 1 bath,307470,Jessie,,Islands,22.22382,114.11179,Entire home/apt,1057,1,5,2023-05-28,0.74,3,8,5,
765484277184082686,Home in Hong Kong · Studio · 1 bed · 1 shared bath,488682126,Rene,,Yuen Long,22.441246958178592,114.07232052778626,Private room,680,14,0,,,1,0,0,
767040810987892496,Home in Hong Kong · 2 bedrooms · 3 beds · 1 bath,449191492,Francesca,,Islands,22.22875,114.11075,Entire home/apt,2299,2,1,2022-12-26,0.17,1,6,1,
767454176150547428,Rental unit in Hong Kong · ★4.67 · 1 bedroom · 2 beds · 1 bath,123880048,Andy,,Central & Western,22.28269,114.15196,Entire home/apt,1180,2,6,2023-05-03,0.87,1,1,6,
767701206052654200,Hotel in Hong Kong · 1 bedroom · 1 bed · 1 private bath,466738499,Wes,,Yau Tsim Mong,22.30273,114.17316,Private room,868,1,2,2022-12-03,0.29,29,149,2,
767716182133280548,Hotel in Hong Kong · 1 bedroom · 1 bed · 1 bath,466738499,Wes,,Yau Tsim Mong,22.30208,114.17129,Private room,868,1,2,2023-02-08,0.39,29,149,2,
767772649533846492,Hotel in Hong Kong · 1 bedroom · 2 beds · 1 shared bath,466738499,Wes,,Yau Tsim Mong,22.30187,114.17232,Private room,754,1,0,,,29,156,0,
768639776389683423,Condo in Hong Kong · ★4.86 · 2 bedrooms · 1 bed · 1 bath,8913942,DanNi,,Islands,22.27123,113.99576,Entire home/apt,1500,2,7,2023-06-18,1.20,1,132,7,
769484714481629493,Rental unit in Hong Kong · ★4.89 · 1 bedroom · 1 bed · 1 bath,489321963,Jun,,Kowloon City,22.31477,114.18945,Entire home/apt,488,3,9,2023-06-20,1.59,1,41,9,
770063726085332663,Rental unit in Hong Kong · ★4.86 · Studio · 1 bed · 1 bath,458187132,Michael,,Central & Western,22.283743389693267,114.15576675396728,Entire home/apt,1400,2,7,2023-05-17,2.12,1,260,7,
770932883691715538,Rental unit in Hong Kong · Studio · 1 bed · 1 bath,447375511,Blueground,,Central & Western,22.2800008,114.1512571,Entire home/apt,1296,30,0,,,50,347,0,
771450378743720608,Rental unit in Hong Kong · Studio · 1 bed · 1 private bath,489683384,Weave Studios,,Yau Tsim Mong,22.3204845,114.1627462,Private room,946,7,0,,,2,0,0,
771956884915112626,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,267770044,Hmlet,,Central & Western,22.2866459,114.1416891,Private room,360,30,0,,,36,88,0,
771981120257219799,Rental unit in Hong Kong · 1 bedroom · 1 bed · 2 shared baths,267770044,Hmlet,,Central & Western,22.2816187,114.1503915,Private room,378,30,0,,,36,89,0,
772217603284387918,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 private bath,25048995,Moey,,Wan Chai,22.2766091,114.1801398,Private room,400,28,2,2023-06-09,0.97,24,261,2,
772266538858557575,Hotel in Hong Kong · ★4.75 · 1 bedroom · 3 beds · 1 shared bath,466738499,Wes,,Yau Tsim Mong,22.30209,114.17262,Private room,1428,1,4,2023-05-29,0.71,29,84,4,
773500637726861746,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 private bath,31947768,Nuts,,Yau Tsim Mong,22.302989743815154,114.17196800859831,Private room,437,2,2,2023-03-14,0.32,21,180,2,
774949930877372922,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,267770044,Hmlet,,Central & Western,22.2815718,114.1499967,Private room,423,30,0,,,36,89,0,
774962978146895134,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,267770044,Hmlet,,Central & Western,22.2846315,114.1493853,Private room,447,30,0,,,36,83,0,
775039814240911561,Aparthotel in Hong Kong · Studio · 1 bed · 1 bath,396588956,Weave,,Central & Western,22.2864205,114.14613,Entire home/apt,2464,7,0,,,5,0,0,
775433067814868823,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 shared bath,107513223,Shiumy,,Southern,22.242626739011325,114.16555972275394,Private room,250,1,2,2023-05-02,0.97,2,76,2,
775565897518800332,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,267770044,Hmlet,,Central & Western,22.2852689,114.1411313,Private room,395,30,0,,,36,88,0,
775588343180318625,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,267770044,Hmlet,,Central & Western,22.28597,114.14202,Private room,395,30,1,2023-06-04,1,36,63,1,
