id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
797995926643063687,Bed and breakfast in Beitou District · ★5.0 · 1 bedroom · 3 beds · 1 shared bath,493293675,兆興,,北投區,25.135139503247544,121.50590346193626,Private room,2451,3,13,2023-06-12,2.32,1,34,13,
799007721300681917,Rental unit in Zhongzheng District · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,29845153,Harry & Jess,,中正區,25.025173565618562,121.52313426438116,Entire home/apt,4330,6,4,2023-06-04,1.29,4,142,4,
799090425284222438,Rental unit in Shilin District · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,16410234,Thomas,,士林區,25.11359,121.52613,Private room,2200,1,3,2023-02-26,0.57,1,364,3,
799589928925338005,Rental unit in Zhongzheng District · ★4.96 · 1 bedroom · 2 beds · 1 bath,20880721,Harry,,中正區,25.046484438818517,121.51588900859832,Entire home/apt,3086,2,23,2023-06-29,5.27,12,234,23,
799634754840089393,Rental unit in Zhongzheng District · ★4.33 · 1 bedroom · 1 bed · 1 bath,221534550,Anne,,中正區,25.022130300925117,121.52628408760363,Entire home/apt,1071,3,9,2023-06-06,1.79,45,38,9,
799761664847159156,Rental unit in Zhongzheng District · ★4.83 · 1 bedroom · 3 beds · 1 bath,20880721,Harry,,中正區,25.046474718872325,121.51589437301635,Entire home/apt,3586,2,18,2023-06-28,4.09,12,285,18,
799768861441566185,Rental unit in Zhongzheng District · ★4.75 · 1 bedroom · 3 beds · 1 bath,20880721,Harry,,中正區,25.046450419003374,121.51589973743438,Entire home/apt,3386,2,16,2023-06-29,4.53,12,287,16,
799921587322635471,Rental unit in Xinyi District · ★4.83 · 2 bedrooms · 2 beds · 1 bath,22840761,Kikina,,信義區,25.041641649292373,121.57682443994395,Entire home/apt,3057,3,6,2023-06-12,2.37,16,72,6,
799937427491339394,Rental unit in Neihu District · 1 bedroom · 2 beds · 1 bath,22840761,Kikina,,內湖區,25.06726549663246,121.61041376053335,Entire home/apt,1429,4,0,,,16,87,0,
800422895002192644,Rental unit in Zhongzheng District · 1 bedroom · 1 bed · 1 private bath,12517641,Howard,,中正區,25.0251892,121.52207,Private room,810,92,1,2023-06-05,1,1,80,1,
800568471384596881,Rental unit in Zhongshan District · 1 bedroom · 1 bed · 1 bath,490134486,Hung Chih,,中山區,25.062239707811546,121.52840607787665,Entire home/apt,3663,30,0,,,31,86,0,
800593816791970684,Home in Zhongshan District · 1 bedroom · 1 bed · 1 bath,490134486,Hung Chih,,中山區,25.06078663009846,121.5263134460839,Entire home/apt,3668,30,0,,,31,142,0,
800622266866160165,Home in Zhongshan District · 1 bedroom · 1 bed · 1 bath,490134486,Hung Chih,,中山區,25.05193,121.52199,Entire home/apt,3566,30,2,2023-06-04,0.68,31,134,2,
800627125062437142,Home in Zhongshan District · 1 bedroom · 1 bed · 1 bath,490134486,Hung Chih,,中山區,25.063908425011302,121.52615602701103,Entire home/apt,3679,30,0,,,31,86,0,
800634443750352524,Rental unit in Songshan District · ★5.0 · 1 bedroom · 1 bed · 1 bath,28596044,Momo,,信義區,25.049334380606187,121.57578846931021,Entire home/apt,901,30,4,2023-05-03,0.86,13,148,4,
800637374020330042,Rental unit in Neihu District · 2 bedrooms · 2 beds · 2 baths,28596044,Momo,,內湖區,25.06134,121.58335,Entire home/apt,3419,14,0,,,13,147,0,
800648145101175885,Rental unit in Da’an District · ★4.80 · 1 bedroom · 1 bed · 1 private bath,22840761,Kikina,,大安區,25.03246727214257,121.54441703376607,Private room,1429,4,5,2023-06-17,1.06,16,87,5,
801046870921771613,Rental unit in Zhongzheng District · 1 bedroom · 1 bed · 1 shared bath,19141684,Tokka,,中正區,25.028569776380536,121.51663998738842,Private room,530,17,0,,,6,365,0,
